home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result
Germany de,pt Portugal,2006-07-08,52000.0,Mercedes-Benz Arena (Neutral Site),,played,3.0,1.0,2006,1.4,1.0,0.7692307692307693,1.4,1.8,0.2222222222222222,win
Italy it,fr France,2006-07-09,69000.0,Olympiastadion Berlin (Neutral Site),,scheduled,,,2006,1.8,0.2,0.7472527472527473,1.4,0.2,0.4090909090909091,
Italy it,fr France,2006-07-09,69000.0,Olympiastadion Berlin (Neutral Site),,scheduled,,,2006,1.8,0.2,0.7472527472527473,1.4,0.2,0.4090909090909091,
South Africa za,mx Mexico,2010-06-11,84490.0,Soccer City (Neutral Site),,played,1.0,1.0,2010,1.6,1.6,0.25,1.0,1.6,0.13333333333333333,draw
Uruguay uy,fr France,2010-06-11,64100.0,Cape Town Stadium (Neutral Site),,played,0.0,0.0,2010,0.6,1.0,0.6666666666666666,1.4,0.2,0.4090909090909091,draw
Uruguay uy,fr France,2010-06-11,64100.0,Cape Town Stadium (Neutral Site),,played,0.0,0.0,2010,0.4,0.8,0.6511627906976745,0.8,0.0,0.4,draw
South Africa za,mx Mexico,2010-06-11,84490.0,Soccer City (Neutral Site),,played,1.0,1.0,2010,1.4,1.4,0.2222222222222222,1.0,1.8,0.13114754098360656,draw
Argentina ar,ng Nigeria,2010-06-12,55686.0,Emirates Airline Park (Neutral Site),,played,1.0,0.0,2010,3.6,0.6,0.7441860465116279,1.0,1.6,0.4,win
England eng,us United States,2010-06-12,38646.0,Royal Bafokeng Stadium (Neutral Site),,played,1.0,1.0,2010,1.4,0.0,0.7,0.8,1.4,0.07407407407407407,draw
Korea Republic kr,gr Greece,2010-06-12,31513.0,Nelson Mandela Bay Stadium (Neutral Site),,played,2.0,0.0,2010,2.0,1.8,0.2727272727272727,0.0,4.0,0.0,win
Korea Republic kr,gr Greece,2010-06-12,31513.0,Nelson Mandela Bay Stadium (Neutral Site),,played,2.0,0.0,2010,2.0,1.6,0.30434782608695654,0.0,3.6,0.0,win
Argentina ar,ng Nigeria,2010-06-12,55686.0,Emirates Airline Park (Neutral Site),,played,1.0,0.0,2010,3.4,0.4,0.7471264367816092,0.4,1.4,0.36363636363636365,win
England eng,us United States,2010-06-12,38646.0,Royal Bafokeng Stadium (Neutral Site),,played,1.0,1.0,2010,1.4,0.2,0.6885245901639344,1.0,1.4,0.07142857142857142,draw
Germany de,au Australia,2010-06-13,62660.0,Moses Mabhida Stadium (Neutral Site),,played,4.0,0.0,2010,1.6,1.2,0.7735849056603774,0.8,1.6,0.0,win
Serbia rs,gh Ghana,2010-06-13,38833.0,Loftus Versfeld Stadium (Neutral Site),,played,0.0,1.0,2010,0.0,0.0,0.0,0.8,1.6,0.3333333333333333,loss
Algeria dz,si Slovenia,2010-06-13,30325.0,Peter Mokaba Stadium (Neutral Site),,played,0.0,1.0,2010,1.0,2.0,0.25,0.5,2.0,0.0,loss
Serbia rs,gh Ghana,2010-06-13,38833.0,Loftus Versfeld Stadium (Neutral Site),,played,0.0,1.0,2010,0.0,1.0,0.0,1.0,1.2,0.42857142857142855,loss
Algeria dz,si Slovenia,2010-06-13,30325.0,Peter Mokaba Stadium (Neutral Site),,played,0.0,1.0,2010,0.4,1.8,0.2222222222222222,0.6,1.6,0.2,loss
Germany de,au Australia,2010-06-13,62660.0,Moses Mabhida Stadium (Neutral Site),,played,4.0,0.0,2010,2.0,1.2,0.7777777777777778,0.8,2.0,0.0,win
Japan jp,cm Cameroon,2010-06-14,30620.0,Toyota Stadium (Neutral Site),,played,1.0,0.0,2010,0.4,1.8,0.14285714285714285,0.8,1.4,0.1,win
Netherlands nl,dk Denmark,2010-06-14,83465.0,Soccer City (Neutral Site),,played,2.0,0.0,2010,1.0,0.8,0.55,2.4,1.8,0.5714285714285714,win
Japan jp,cm Cameroon,2010-06-14,30620.0,Toyota Stadium (Neutral Site),,played,1.0,0.0,2010,0.6,1.6,0.2,0.8,1.0,0.09523809523809523,win
Italy it,py Paraguay,2010-06-14,62869.0,Cape Town Stadium (Neutral Site),,played,1.0,1.0,2010,1.8,0.2,0.7472527472527473,0.0,1.0,0.14285714285714285,draw
Netherlands nl,dk Denmark,2010-06-14,83465.0,Soccer City (Neutral Site),,played,2.0,0.0,2010,1.2,0.4,0.5609756097560976,1.6,2.0,0.5333333333333333,win
Italy it,py Paraguay,2010-06-14,62869.0,Cape Town Stadium (Neutral Site),,played,1.0,1.0,2010,1.8,0.2,0.7391304347826086,0.2,1.0,0.13793103448275862,draw
New Zealand nz,sk Slovakia,2010-06-15,23871.0,Royal Bafokeng Stadium (Neutral Site),,played,1.0,1.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,draw
Côte d'Ivoire ci,pt Portugal,2010-06-15,37034.0,Nelson Mandela Bay Stadium (Neutral Site),,played,0.0,0.0,2010,3.0,2.0,1.0,1.2,1.8,0.2,draw
Brazil br,kp Korea DPR,2010-06-15,54331.0,Emirates Airline Park (Neutral Site),,played,2.0,1.0,2010,1.6,0.4,0.8046875,1.5,4.0,0.0,win
Brazil br,kp Korea DPR,2010-06-15,54331.0,Emirates Airline Park (Neutral Site),,played,2.0,1.0,2010,1.6,0.6,0.8062015503875969,1.4,3.6,0.0,win
Côte d'Ivoire ci,pt Portugal,2010-06-15,37034.0,Nelson Mandela Bay Stadium (Neutral Site),,played,0.0,0.0,2010,2.0,1.3333333333333333,0.6666666666666666,0.8,1.2,0.18181818181818182,draw
New Zealand nz,sk Slovakia,2010-06-15,23871.0,Royal Bafokeng Stadium (Neutral Site),,played,1.0,1.0,2010,1.0,1.0,0.0,1.0,1.0,0.0,draw
Spain es,ch Switzerland,2010-06-16,62453.0,Moses Mabhida Stadium (Neutral Site),,played,0.0,1.0,2010,2.4,1.6,0.627906976744186,0.8,0.6,0.14285714285714285,loss
Honduras hn,cl Chile,2010-06-16,32664.0,Mbombela Stadium (Neutral Site),,played,0.0,1.0,2010,0.5,1.0,0.0,1.6,3.0,0.0,loss
South Africa za,uy Uruguay,2010-06-16,42658.0,Loftus Versfeld Stadium (Neutral Site),,played,0.0,3.0,2010,1.4,1.6,0.2,1.2,1.6,0.05263157894736842,loss
Spain es,ch Switzerland,2010-06-16,62453.0,Moses Mabhida Stadium (Neutral Site),,played,0.0,1.0,2010,1.6,1.8,0.6136363636363636,1.0,0.0,0.1724137931034483,loss
Honduras hn,cl Chile,2010-06-16,32664.0,Mbombela Stadium (Neutral Site),,played,0.0,1.0,2010,0.4,1.0,0.0,1.4,2.4,0.034482758620689655,loss
South Africa za,uy Uruguay,2010-06-16,42658.0,Loftus Versfeld Stadium (Neutral Site),,played,0.0,3.0,2010,1.2,2.2,0.18181818181818182,1.8,1.2,0.07692307692307693,loss
France fr,mx Mexico,2010-06-17,35370.0,Peter Mokaba Stadium (Neutral Site),,played,0.0,2.0,2010,0.4,0.4,0.6595744680851063,1.0,1.6,0.12903225806451613,loss
Greece gr,ng Nigeria,2010-06-17,31593.0,Toyota Stadium (Neutral Site),,played,2.0,1.0,2010,0.0,2.0,0.0,0.4,1.4,0.3333333333333333,win
France fr,mx Mexico,2010-06-17,35370.0,Peter Mokaba Stadium (Neutral Site),,played,0.0,2.0,2010,0.4,0.8,0.6458333333333334,1.2,1.2,0.14285714285714285,loss
Greece gr,ng Nigeria,2010-06-17,31593.0,Toyota Stadium (Neutral Site),,played,2.0,1.0,2010,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6,1.6,0.3076923076923077,win
Argentina ar,kr Korea Republic,2010-06-17,82174.0,Soccer City (Neutral Site),,played,4.0,1.0,2010,2.4,0.4,0.75,0.4,1.4,0.08333333333333333,win
Argentina ar,kr Korea Republic,2010-06-17,82174.0,Soccer City (Neutral Site),,played,4.0,1.0,2010,2.0,0.6,0.7528089887640449,0.6,2.0,0.08,win
Slovenia si,us United States,2010-06-18,45573.0,Emirates Airline Park (Neutral Site),,played,2.0,2.0,2010,1.0,3.0,0.0,1.0,1.4,0.06896551724137931,draw
Slovenia si,us United States,2010-06-18,45573.0,Emirates Airline Park (Neutral Site),,played,2.0,2.0,2010,1.3333333333333333,2.6666666666666665,0.0,1.2,1.6,0.06666666666666667,draw
England eng,dz Algeria,2010-06-18,64100.0,Cape Town Stadium (Neutral Site),,played,0.0,0.0,2010,1.2,0.4,0.6774193548387096,1.0,1.0,0.5,draw
England eng,dz Algeria,2010-06-18,64100.0,Cape Town Stadium (Neutral Site),,played,0.0,0.0,2010,0.8,0.4,0.6666666666666666,0.8,0.8,0.4,draw
Germany de,rs Serbia,2010-06-18,38294.0,Nelson Mandela Bay Stadium (Neutral Site),,played,0.0,1.0,2010,2.8,0.8,0.7818181818181819,0.0,0.0,0.0,loss
Germany de,rs Serbia,2010-06-18,38294.0,Nelson Mandela Bay Stadium (Neutral Site),,played,0.0,1.0,2010,2.8,0.6,0.7678571428571429,1.0,0.0,1.0,loss
Cameroon cm,dk Denmark,2010-06-19,38074.0,Loftus Versfeld Stadium (Neutral Site),,played,1.0,2.0,2010,0.6,1.0,0.42857142857142855,1.2,1.8,0.5,loss
Ghana gh,au Australia,2010-06-19,34812.0,Royal Bafokeng Stadium (Neutral Site),,played,1.0,1.0,2010,2.0,1.0,1.0,0.4,2.4,0.0,draw
Netherlands nl,jp Japan,2010-06-19,62010.0,Moses Mabhida Stadium (Neutral Site),,played,1.0,0.0,2010,1.2,0.2,0.5714285714285714,1.2,1.4,0.3333333333333333,win
Cameroon cm,dk Denmark,2010-06-19,38074.0,Loftus Versfeld Stadium (Neutral Site),,played,1.0,2.0,2010,0.6,1.2,0.4,1.2,1.4,0.5294117647058824,loss
Ghana gh,au Australia,2010-06-19,34812.0,Royal Bafokeng Stadium (Neutral Site),,played,1.0,1.0,2010,1.6666666666666667,1.0,0.6666666666666666,0.2,2.2,0.0,draw
Netherlands nl,jp Japan,2010-06-19,62010.0,Moses Mabhida Stadium (Neutral Site),,played,1.0,0.0,2010,1.0,0.0,0.5813953488372093,1.2,1.4,0.2857142857142857,win
